0	0
1	1
2	0
3	1
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	0
14	0
15	0
16	1
17	0
18	0
19	0
20	1
21	1
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	1
30	0
31	0
32	0
33	1
34	0
35	0
36	0
37	0
38	1
39	0
40	1
41	1
42	0
43	0
44	1
45	0
46	1
47	1
48	0
49	0
50	0
51	0
52	0
53	1
54	1
55	0
56	0
57	1
58	0
59	0
60	0
61	0
62	1
63	0
64	1
65	0
66	0
67	1
68	0
69	0
70	0
71	1
72	0
73	1
74	0
75	0
76	1
77	1
78	0
79	0
80	1
81	1
82	1
83	0
84	0
85	0
86	1
87	1
88	0
89	0
90	1
91	0
92	0
93	0
94	1
95	1
96	1
97	1
98	0
99	0
100	0
101	0
102	0
103	0
104	1
105	0
106	1
107	0
108	0
109	0
110	0
111	0
112	1
113	1
114	1
115	1
116	1
117	1
118	0
119	0
120	0
121	1
122	0
123	0
124	0
125	0
126	0
127	1
128	0
129	0
130	0
131	0
